"Species","Year","Region","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975"
"Hirundinidae1",1970,"Continental",11.0519914957353,10.545010031308,10.6130853366494,10.8604587755788,11.242711249062,11.5628939387614,11.6712585472028
"Hirundinidae1",1971,"Continental",11.3217100822456,10.8416652454587,10.922943196211,11.1543554833773,11.4950325163145,11.7672810713903,11.8615838230006
"Hirundinidae1",1972,"Continental",11.7615045874392,11.29659453953,11.3797531177215,11.6030890748479,11.9307747810777,12.1865620734847,12.2745124152336
"Hirundinidae1",1973,"Continental",12.0303898656737,11.6162373774014,11.6760376302652,11.8753088557026,12.1833071840182,12.4235045936413,12.5076936785269
"Hirundinidae1",1974,"Continental",12.6006584267108,12.1952427271559,12.2550003126719,12.4636078335519,12.7629672738785,12.9980537545054,13.078383022558
"Hirundinidae1",1975,"Continental",13.0705157366276,12.6306178066355,12.7148003501179,12.9294822073856,13.218028333649,13.4457166874165,13.5114377625091
"Hirundinidae1",1976,"Continental",13.5005588378014,13.0744136009196,13.1432312794072,13.3539958152733,13.6535901977485,13.8769329943749,13.9440869195746
"Hirundinidae1",1977,"Continental",13.8286787957179,13.3893798814435,13.4628790073228,13.6678423933086,13.9835209801863,14.2121174883588,14.2943508052512
"Hirundinidae1",1978,"Continental",14.0690605609378,13.6318211336008,13.7018127591947,13.9187379444383,14.219799340893,14.4640903493876,14.5337951734556
"Hirundinidae1",1979,"Continental",14.2829740791468,13.8712474009434,13.9249010352824,14.1332888642115,14.4374220817669,14.6571993939848,14.7199375311649
"Hirundinidae1",1980,"Continental",14.4072068794278,13.9902384898515,14.0512935732147,14.256927294406,14.553856370757,14.7745852217068,14.8346149955975
"Hirundinidae1",1981,"Continental",14.0446646836436,13.6465658491258,13.7084501858155,13.8992027027562,14.1906283752085,14.4023879012984,14.474069855204
"Hirundinidae1",1982,"Continental",14.3412903955955,13.9320053189961,13.9939332415921,14.1997329050965,14.4791542029473,14.6959012662857,14.7663759394507
"Hirundinidae1",1983,"Continental",13.9905278322456,13.6023866895291,13.6608272596327,13.8573297428495,14.1221579512775,14.3318877998302,14.3939923147849
"Hirundinidae1",1984,"Continental",14.1286828083546,13.7267730173519,13.7919942535426,13.9913206067305,14.2755120380277,14.4812566965921,14.5555551380897
"Hirundinidae1",1985,"Continental",13.9971917914658,13.6015889680046,13.6701768591667,13.8511297387424,14.1395627910189,14.3367379692888,14.4104193034859
"Hirundinidae1",1986,"Continental",13.8903916897488,13.5117521433846,13.5694637278212,13.754355592455,14.028926646182,14.2363160114432,14.3006885585713
"Hirundinidae1",1987,"Continental",13.4602579525431,13.0909976084035,13.1578594587844,13.331672848711,13.5930021649836,13.7951404940653,13.8478127203295
"Hirundinidae1",1988,"Continental",13.0799030246841,12.7486610282229,12.7999422323102,12.9631322730965,13.2019554426347,13.3977601963167,13.4554467344343
"Hirundinidae1",1989,"Continental",12.3475513447693,12.0295881207359,12.0764855651878,12.2380985958698,12.4630900140816,12.634568632748,12.6916647850095
"Hirundinidae1",1990,"Continental",12.034780753944,11.7292830673145,11.7757789968358,11.9317989287044,12.1352326785313,12.2874659976549,12.3404993012311
"Hirundinidae1",1991,"Continental",11.5649422535548,11.2718133000192,11.3196690733306,11.462402101643,11.6655612555448,11.8272536554693,11.8811387483773
"Hirundinidae1",1992,"Continental",11.176060628171,10.9011667005147,10.9390342117123,11.0805341129445,11.2754611759601,11.4277244601868,11.4899811765063
"Hirundinidae1",1993,"Continental",10.9884524972238,10.7224580142959,10.7622191572787,10.8957178620631,11.0801615349066,11.2198450956932,11.2673830110034
"Hirundinidae1",1994,"Continental",10.9086390254763,10.6510353280078,10.6944665935521,10.8220596310236,10.9957001892103,11.1306791988388,11.1673303306664
"Hirundinidae1",1995,"Continental",10.5792781108172,10.3297656169107,10.3720409619965,10.493729580787,10.6653612040085,10.7849037068678,10.829934708538
"Hirundinidae1",1996,"Continental",10.572530443231,10.3207142340032,10.3645998242561,10.485717374253,10.660451954757,10.7944083762334,10.8407401426187
"Hirundinidae1",1997,"Continental",10.5116090157015,10.2748401767432,10.3148341032139,10.4284929265275,10.5955019256877,10.7284861150908,10.7855623580253
"Hirundinidae1",1998,"Continental",10.2393285524008,10.0020789310746,10.0395298086011,10.1573469463838,10.3218072472227,10.4440969323815,10.4804466755464
"Hirundinidae1",1999,"Continental",9.91601892024839,9.69121967808571,9.72251035010094,9.83783973790525,9.99631226900471,10.10636053621,10.1418739676953
"Hirundinidae1",2000,"Continental",9.59887650622107,9.37774261305422,9.41354054437176,9.5221909087943,9.67268376573683,9.77944039491341,9.81772262045129
"Hirundinidae1",2001,"Continental",8.94471523689766,8.73234544087555,8.76766498407744,8.8722959330719,9.0162751569139,9.12570524334933,9.1598046159982
"Hirundinidae1",2002,"Continental",8.84208484829586,8.63303057488123,8.67183447259573,8.77323551567675,8.91356746759839,9.02191146000709,9.05462594831104
"Hirundinidae1",2003,"Continental",8.84812014453281,8.64497188487439,8.67336279770688,8.77736502732106,8.92256300555956,9.0290681958472,9.07051268147593
"Hirundinidae1",2004,"Continental",9.01522593074525,8.80306997629617,8.83775067457762,8.94070581979391,9.08739667125769,9.19396487644,9.23219405334292
"Hirundinidae1",2005,"Continental",9.12833370687215,8.92437965307813,8.96183770000103,9.05419703808244,9.2031473747363,9.30991405304634,9.34401989592083
"Hirundinidae1",2006,"Continental",9.18256106449925,8.99118914118373,9.02104733852138,9.11458755710658,9.25180888314864,9.35353917123141,9.3883285532163
